question_id,answer,correct
1,,False
1,,False
1,yes,False
1,no,True
1,yes,False
1,,False
1,yes,False
1,yes,False
1,no,True
1,no,True
1,no,True
1,,False
1,no,True
1,yes,False
1,no,True
1,yes,False
1,yes,False
1,yes,False
1,yes,False
1,no,True
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
2,yes,False
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
3,no,True
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
4,yes,False
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
5,no,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
6,yes,True
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
7,yes,False
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
8,no,True
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,no,False
9,no,False
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,yes,True
9,,False
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
10,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
11,yes,True
12,yes,True
12,,False
12,,False
12,,False
12,,False
12,,False
12,,False
12,yes,True
12,yes,True
12,no,False
12,yes,True
12,no,False
12,,False
12,,False
12,yes,True
12,yes,True
12,,False
12,yes,True
12,no,False
12,,False
13,yes,True
13,yes,True
13,,False
13,yes,True
13,yes,True
13,,False
13,yes,True
13,yes,True
13,yes,True
13,yes,True
13,yes,True
13,yes,True
13,yes,True
13,yes,True
13,,False
13,,False
13,yes,True
13,yes,True
13,yes,True
13,,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
14,no,False
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
15,yes,True
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
16,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
17,yes,False
18,yes,True
18,yes,True
18,,False
18,yes,True
18,no,False
18,yes,True
18,yes,True
18,yes,True
18,yes,True
18,,False
18,yes,True
18,yes,True
18,yes,True
18,yes,True
18,yes,True
18,yes,True
18,yes,True
18,yes,True
18,yes,True
18,,False
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
19,yes,True
20,yes,False
20,,False
20,no,True
20,yes,False
20,,False
20,no,True
20,yes,False
20,no,True
20,no,True
20,,False
20,yes,False
20,no,True
20,,False
20,yes,False
20,no,True
20,yes,False
20,yes,False
20,yes,False
20,,False
20,no,True
21,no,False
21,yes,True
21,yes,True
21,yes,True
21,yes,True
21,yes,True
21,,False
21,no,False
21,yes,True
21,,False
21,yes,True
21,yes,True
21,yes,True
21,yes,True
21,yes,True
21,,False
21,yes,True
21,yes,True
21,,False
21,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
22,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,no,False
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
23,yes,True
24,no,True
24,no,True
24,no,True
24,no,True
24,no,True
24,yes,False
24,no,True
24,yes,False
24,no,True
24,yes,False
24,no,True
24,no,True
24,no,True
24,no,True
24,yes,False
24,no,True
24,no,True
24,no,True
24,no,True
24,no,True
25,yes,True
25,,False
25,yes,True
25,yes,True
25,,False
25,,False
25,yes,True
25,yes,True
25,,False
25,yes,True
25,yes,True
25,yes,True
25,,False
25,yes,True
25,yes,True
25,yes,True
25,no,False
25,yes,True
25,yes,True
25,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
26,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
27,yes,True
28,yes,True
28,yes,True
28,,False
28,yes,True
28,yes,True
28,,False
28,yes,True
28,yes,True
28,,False
28,yes,True
28,,False
28,yes,True
28,yes,True
28,yes,True
28,yes,True
28,yes,True
28,yes,True
28,yes,True
28,,False
28,yes,True
29,yes,True
29,yes,True
29,,False
29,,False
29,yes,True
29,yes,True
29,,False
29,,False
29,yes,True
29,yes,True
29,yes,True
29,,False
29,yes,True
29,yes,True
29,yes,True
29,yes,True
29,yes,True
29,yes,True
29,yes,True
29,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
30,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
31,yes,True
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
32,no,False
33,yes,False
33,yes,False
33,yes,False
33,yes,False
33,yes,False
33,yes,False
33,yes,False
33,yes,False
33,yes,False
