question_id,prompt,correct_answer,distractor
1,"Q: Which word rhymes with the word ""declare"", ""beer"" or ""wear""?
A:",wear,beer
2,"Q: Which word rhymes with the word ""together"", ""leather"" or ""neighbor""?
A:",leather,neighbor
3,"Q: Which word rhymes with the word ""pop"", ""midnight"" or ""crop""?
A:",crop,midnight
4,"Q: Which word rhymes with the word ""session"", ""skin"" or ""profession""?
A:",profession,skin
5,"Q: Which word rhymes with the word ""might"", ""write"" or ""swimsuit""?
A:",write,swimsuit
6,"Q: Which word rhymes with the word ""sort"", ""arrest"" or ""support""?
A:",support,arrest
7,"Q: Which word rhymes with the word ""jar"", ""broken"" or ""star""?
A:",star,broken
8,"Q: Which word rhymes with the word ""main"", ""brain"" or ""crossing""?
A:",brain,crossing
9,"Q: Which word rhymes with the word ""agree"", ""me"" or ""attractive""?
A:",me,attractive
10,"Q: Which word rhymes with the word ""questionnaire"", ""compare"" or ""ceremony""?
A:",compare,ceremony
11,"Q: Which word rhymes with the word ""support"", ""short"" or ""knife""?
A:",short,knife
12,"Q: Which word rhymes with the word ""worst"", ""here"" or ""first""?
A:",first,here
13,"Q: Which word rhymes with the word ""cigarette"", ""set"" or ""brush""?
A:",set,brush
14,"Q: Which word rhymes with the word ""nearly"", ""clearly"" or ""fan""?
A:",clearly,fan
15,"Q: Which word rhymes with the word ""stripe"", ""type"" or ""sensible""?
A:",type,sensible
16,"Q: Which word rhymes with the word ""vote"", ""note"" or ""only""?
A:",note,only
17,"Q: Which word rhymes with the word ""piece"", ""ladder"" or ""peace""?
A:",peace,ladder
18,"Q: Which word rhymes with the word ""punctuation"", ""correct"" or ""population""?
A:",population,correct
19,"Q: Which word rhymes with the word ""each"", ""speech"" or ""ahead""?
A:",speech,ahead
20,"Q: Which word rhymes with the word ""sheep"", ""steep"" or ""pear""?
A:",steep,pear
21,"Q: Which word rhymes with the word ""metal"", ""kettle"" or ""sense""?
A:",kettle,sense
22,"Q: Which word rhymes with the word ""attend"", ""trend"" or ""bone""?
A:",trend,bone
23,"Q: Which word rhymes with the word ""disagree"", ""degree"" or ""prince""?
A:",degree,prince
24,"Q: Which word rhymes with the word ""stranger"", ""switch"" or ""danger""?
A:",danger,switch
25,"Q: Which word rhymes with the word ""taste"", ""stove"" or ""waste""?
A:",waste,stove
26,"Q: Which word rhymes with the word ""jam"", ""drama"" or ""tram""?
A:",tram,drama
27,"Q: Which word rhymes with the word ""sun"", ""president"" or ""run""?
A:",run,president
28,"Q: Which word rhymes with the word ""sweater"", ""letter"" or ""disgusting""?
A:",letter,disgusting
29,"Q: Which word rhymes with the word ""deck"", ""check"" or ""professional""?
A:",check,professional
30,"Q: Which word rhymes with the word ""plain"", ""cabin"" or ""train""?
A:",train,cabin
31,"Q: Which word rhymes with the word ""sound"", ""surround"" or ""useless""?
A:",surround,useless
32,"Q: Which word rhymes with the word ""rebuild"", ""grilled"" or ""snowboard""?
A:",grilled,snowboard
33,"Q: Which word rhymes with the word ""grade"", ""persuade"" or ""mango""?
A:",persuade,mango
34,"Q: Which word rhymes with the word ""examination"", ""population"" or ""river""?
A:",population,river
35,"Q: Which word rhymes with the word ""stick"", ""quick"" or ""supper""?
A:",quick,supper
36,"Q: Which word rhymes with the word ""fee"", ""me"" or ""let""?
A:",me,let
37,"Q: Which word rhymes with the word ""cold"", ""gold"" or ""clown""?
A:",gold,clown
38,"Q: Which word rhymes with the word ""dish"", ""example"" or ""fish""?
A:",fish,example
39,"Q: Which word rhymes with the word ""kettle"", ""metal"" or ""throw""?
A:",metal,throw
40,"Q: Which word rhymes with the word ""upstairs"", ""downstairs"" or ""perfume""?
A:",downstairs,perfume
41,"Q: Which word rhymes with the word ""start"", ""these"" or ""depart""?
A:",depart,these
42,"Q: Which word rhymes with the word ""control"", ""hole"" or ""weigh""?
A:",hole,weigh
43,"Q: Which word rhymes with the word ""crew"", ""college"" or ""through""?
A:",through,college
44,"Q: Which word rhymes with the word ""conversation"", ""spider"" or ""station""?
A:",station,spider
45,"Q: Which word rhymes with the word ""fork"", ""pork"" or ""ordinary""?
A:",pork,ordinary
46,"Q: Which word rhymes with the word ""kind"", ""blind"" or ""first""?
A:",blind,first
47,"Q: Which word rhymes with the word ""daughter"", ""water"" or ""wall""?
A:",water,wall
48,"Q: Which word rhymes with the word ""speed"", ""indeed"" or ""dusty""?
A:",indeed,dusty
49,"Q: Which word rhymes with the word ""inform"", ""boiled"" or ""storm""?
A:",storm,boiled
50,"Q: Which word rhymes with the word ""out"", ""silver"" or ""doubt""?
A:",doubt,silver
51,"Q: Which word rhymes with the word ""diet"", ""quiet"" or ""limit""?
A:",quiet,limit
52,"Q: Which word rhymes with the word ""steak"", ""awake"" or ""area""?
A:",awake,area
53,"Q: Which word rhymes with the word ""southwest"", ""breast"" or ""cola""?
A:",breast,cola
54,"Q: Which word rhymes with the word ""switch"", ""rich"" or ""windshield""?
A:",rich,windshield
55,"Q: Which word rhymes with the word ""stain"", ""gain"" or ""account""?
A:",gain,account
56,"Q: Which word rhymes with the word ""pork"", ""fork"" or ""how""?
A:",fork,how
57,"Q: Which word rhymes with the word ""fight"", ""stand"" or ""flight""?
A:",flight,stand
58,"Q: Which word rhymes with the word ""successful"", ""lady"" or ""stressful""?
A:",stressful,lady
59,"Q: Which word rhymes with the word ""home"", ""involve"" or ""comb""?
A:",comb,involve
60,"Q: Which word rhymes with the word ""reservation"", ""presentation"" or ""girl""?
A:",presentation,girl
61,"Q: Which word rhymes with the word ""trust"", ""dust"" or ""she""?
A:",dust,she
62,"Q: Which word rhymes with the word ""teach"", ""peach"" or ""lucky""?
A:",peach,lucky
63,"Q: Which word rhymes with the word ""professor"", ""mark"" or ""dresser""?
A:",dresser,mark
64,"Q: Which word rhymes with the word ""whole"", ""goal"" or ""pen""?
A:",goal,pen
65,"Q: Which word rhymes with the word ""sweet"", ""tasty"" or ""complete""?
A:",complete,tasty
66,"Q: Which word rhymes with the word ""juice"", ""little"" or ""reduce""?
A:",reduce,little
67,"Q: Which word rhymes with the word ""anymore"", ""study"" or ""store""?
A:",store,study
68,"Q: Which word rhymes with the word ""flood"", ""blood"" or ""comedy""?
A:",blood,comedy
69,"Q: Which word rhymes with the word ""slow"", ""ago"" or ""together""?
A:",ago,together
70,"Q: Which word rhymes with the word ""transportation"", ""imagination"" or ""miss""?
A:",imagination,miss
71,"Q: Which word rhymes with the word ""week"", ""baseball"" or ""antique""?
A:",antique,baseball
72,"Q: Which word rhymes with the word ""name"", ""shampoo"" or ""blame""?
A:",blame,shampoo
73,"Q: Which word rhymes with the word ""dive"", ""alive"" or ""begin""?
A:",alive,begin
