question_id,prompt,correct_answer,distractor
1,"Q: Which word has more letters, ""no"" or ""chat""?
A:",chat,no
2,"Q: Which word has more letters, ""fit"" or ""rice""?
A:",rice,fit
3,"Q: Which word has more letters, ""fact"" or ""polite""?
A:",polite,fact
4,"Q: Which word has more letters, ""reason"" or ""like""?
A:",reason,like
5,"Q: Which word has more letters, ""roast"" or ""want""?
A:",roast,want
6,"Q: Which word has more letters, ""each"" or ""uniform""?
A:",uniform,each
7,"Q: Which word has more letters, ""steal"" or ""mistake""?
A:",mistake,steal
8,"Q: Which word has more letters, ""cola"" or ""night""?
A:",night,cola
9,"Q: Which word has more letters, ""side"" or ""guest""?
A:",guest,side
10,"Q: Which word has more letters, ""mix"" or ""group""?
A:",group,mix
11,"Q: Which word has more letters, ""stadium"" or ""trip""?
A:",stadium,trip
12,"Q: Which word has more letters, ""yet"" or ""dish""?
A:",dish,yet
13,"Q: Which word has more letters, ""about"" or ""face""?
A:",about,face
14,"Q: Which word has more letters, ""table"" or ""cow""?
A:",table,cow
15,"Q: Which word has more letters, ""neighbor"" or ""details""?
A:",neighbor,details
16,"Q: Which word has more letters, ""policeman"" or ""war""?
A:",policeman,war
17,"Q: Which word has more letters, ""question"" or ""ham""?
A:",question,ham
18,"Q: Which word has more letters, ""bed"" or ""chain""?
A:",chain,bed
19,"Q: Which word has more letters, ""by"" or ""skirt""?
A:",skirt,by
20,"Q: Which word has more letters, ""final"" or ""wash""?
A:",final,wash
21,"Q: Which word has more letters, ""who"" or ""home""?
A:",home,who
22,"Q: Which word has more letters, ""those"" or ""shoe""?
A:",those,shoe
23,"Q: Which word has more letters, ""reading"" or ""much""?
A:",reading,much
24,"Q: Which word has more letters, ""towel"" or ""tire""?
A:",towel,tire
25,"Q: Which word has more letters, ""thank"" or ""cat""?
A:",thank,cat
26,"Q: Which word has more letters, ""fun"" or ""side""?
A:",side,fun
27,"Q: Which word has more letters, ""want"" or ""model""?
A:",model,want
28,"Q: Which word has more letters, ""family"" or ""golf""?
A:",family,golf
29,"Q: Which word has more letters, ""box"" or ""place""?
A:",place,box
30,"Q: Which word has more letters, ""flight"" or ""fashion""?
A:",fashion,flight
31,"Q: Which word has more letters, ""flight"" or ""cup""?
A:",flight,cup
32,"Q: Which word has more letters, ""bother"" or ""one""?
A:",bother,one
33,"Q: Which word has more letters, ""finger"" or ""soap""?
A:",finger,soap
34,"Q: Which word has more letters, ""stomach"" or ""face""?
A:",stomach,face
35,"Q: Which word has more letters, ""think"" or ""try""?
A:",think,try
36,"Q: Which word has more letters, ""fresh"" or ""suit""?
A:",fresh,suit
37,"Q: Which word has more letters, ""delay"" or ""company""?
A:",company,delay
38,"Q: Which word has more letters, ""teach"" or ""guy""?
A:",teach,guy
39,"Q: Which word has more letters, ""with"" or ""about""?
A:",about,with
40,"Q: Which word has more letters, ""explain"" or ""oil""?
A:",explain,oil
41,"Q: Which word has more letters, ""boring"" or ""cover""?
A:",boring,cover
42,"Q: Which word has more letters, ""water"" or ""very""?
A:",water,very
43,"Q: Which word has more letters, ""instead"" or ""father""?
A:",instead,father
44,"Q: Which word has more letters, ""tea"" or ""find""?
A:",find,tea
45,"Q: Which word has more letters, ""sun"" or ""pack""?
A:",pack,sun
