question_id,perturbation_id,prompt,correct_answer,distractor,correct
1,6,"Which word is a rhyme for ""declare"": ""beer"" or ""wear""?",wear,beer,0.0
1,10,"Rewritten prompt: Can you tell me which of the two words, ""wear"" or ""beer"", rhymes with ""declare""?",wear,beer,0.2
1,18,"Can you provide the rhyme for ""declare""; is it ""beer"" or ""wear""?",wear,beer,0.3
1,27,"What is the word that rhymes with ""declare"" - ""wear"" or ""beer""?",wear,beer,0.2
1,50,"Which of these words rhymes with ""declare"": ""beer"" or ""wear""?",wear,beer,0.0
1,91,"Out of the words 'beer' and 'wear', which one rhymes with 'declare'?",wear,beer,0.4
1,98,"Do you know if ""beer"" or ""wear"" is a rhyme for ""declare""?",wear,beer,0.25
1,109,"Please identify the word that rhymes with ""declare"": ""wear"" or ""beer""?",wear,beer,0.3
1,114,"Please tell me, which word rhymes with ""declare"": ""beer"" or ""wear""?",wear,beer,0.05
1,118,"I need to know which word, ""wear"" or ""beer"", rhymes with ""declare"".",wear,beer,0.55
1,119,"Can you determine which word, ""wear"" or ""beer"", rhymes with ""declare""?",wear,beer,0.6
1,130,"Can you tell me which word, ""wear"" or ""beer"", rhymes with ""declare""?",wear,beer,0.3
1,148,"Please identify the word that rhymes with ""declare"": ""wear"" or ""beer"".",wear,beer,0.55
1,157,"Please indicate which of the words ""wear"" and ""beer"" rhymes with ""declare"".",wear,beer,0.75
1,173,"Can you help me find the word that rhymes with ""declare""? Is it ""beer"" or ""wear""?",wear,beer,0.0
1,177,"Determine which word, either word1 or word2, rhymes with the given query word.
Query word: ""declare""
Word1: ""wear""
Word2: ""beer""
Output: The word that rhymes with ""declare"" is:",wear,beer,0.45
1,190,"Given a query word and two candidate words, determine which of the candidate words rhymes with the query word. The query word and candidate words will be provided as input strings. Please output the candidate word that rhymes with the query word.
Query word: ""declare""
Candidate word 1: ""wear""
Candidate word 2: ""beer""
Output word:",wear,beer,0.1
1,211,"Given a query word and two candidate words, determine which of the candidate words rhymes with the query word. Please provide the candidate words in the format ""Option A: word1, Option B: word2"". 
Query word: ""declare""
Option A: ""wear""
Option B: ""beer""
Output:",wear,beer,0.05
1,236,"Given three words, ""wear"", ""beer"", and ""declare"", determine which of the two words, ""wear"" or ""beer"", rhymes with the query word.
word1: ""wear""
word2: ""beer""
query: ""declare""
Output: The word that rhymes with ""declare"" is:",wear,beer,0.0
1,239,"Given a word ""declare"", identify which of the two words ""wear"" and ""beer"" rhymes with it.
Output: The word that rhymes with ""declare"" is either ""wear"" or ""beer"".",wear,beer,1.0
15,13,"Which word rhymes with ""stripe"" - ""sensible"" or ""type""?",type,sensible,0.15
15,32,"What is a word that rhymes with 'stripe', 'sensible' or 'type'?",type,sensible,0.0
15,33,Provide a word that rhymes with 'stripe' and specify whether it rhymes with 'type' or 'sensible'.,type,sensible,0.0
15,48,"Which of the two words, ""type"" or ""sensible"", rhymes with the term ""stripe""?",type,sensible,0.5
15,76,"Can you tell me which one of ""type"" and ""sensible"" rhymes with ""stripe""?",type,sensible,0.35
15,80,"Determine if ""type"" or ""sensible"" rhymes with the word ""stripe""?",type,sensible,0.25
15,94,"Out of the words ""sensible"" and """"type"","" which one rhymes with """"stripe""?""",type,sensible,0.2
15,95,"Can you tell me if ""sensible"" or ""type"" rhymes with """"stripe""?""",type,sensible,0.6
15,98,"Do you know if ""type"" or ""sensible"" is a rhyme for ""stripe""?",type,sensible,0.25
15,116,"I am looking for a word that rhymes with ""stripe"". Would it be ""type"" or ""sensible""?",type,sensible,0.4
15,119,"Can you determine which word, ""sensible"" or ""type"", rhymes with ""stripe""?",type,sensible,0.15
15,120,"I'm looking for the word that rhymes with ""stripe"". Is it ""sensible"" or ""type""?",type,sensible,0.5
15,123,"Which of these words rhymes with ""stripe"": ""type"" or ""sensible""?",type,sensible,0.4
15,126,"Do you know if ""sensible"" or ""type"" rhymes with ""stripe""?",type,sensible,0.1
15,129,"Does ""type"" or ""sensible"" rhyme with ""stripe""? Choose the rhyming word.",type,sensible,0.5
15,145,"Given the query word ""stripe"", please indicate which of the two words, ""type"" or ""sensible"", rhymes with it.",type,sensible,0.55
15,148,"Please identify the word that rhymes with ""stripe"": ""type"" or ""sensible"".",type,sensible,0.4
15,155,"Which of the words ""sensible"" and ""type"" is a rhyme for the word ""stripe""?",type,sensible,0.25
15,192,"Please determine which word, either ""word1"" or ""word2"", rhymes with the provided ""stripe"".
Word 1: ""type""
Word 2: ""sensible""
Output word:",type,sensible,0.35
15,228,"Determine which word, either ""sensible"" or ""type"", rhymes with the provided word ""stripe"".
Output word:",type,sensible,0.0
30,23,"Which word between ""cabin"" and ""train"" rhymes with ""plain""?",train,cabin,0.4
30,63,"Which word do you think rhymes with ""plain"", ""cabin"" or ""train""?",train,cabin,0.65
30,70,"Which of these words, ""cabin"" or ""train"", rhymes with ""plain""?",train,cabin,0.1
30,74,"Out of ""train"" and ""cabin"", which word rhymes with ""plain""?",train,cabin,0.25
30,75,"Determine which word, ""cabin"" or ""train"", rhymes with the word ""plain"".",train,cabin,0.35
30,78,"Out of the words ""cabin"" and ""train"", which one rhymes with ""plain""?",train,cabin,0.45
30,99,"Out of ""cabin"" and ""train"", which one do you think is a rhyming word for ""plain""?",train,cabin,0.2
30,103,"I need to know: does ""cabin"" or ""train"" rhyme with ""plain""?",train,cabin,0.2
30,110,"Which of the words ""train"" and ""cabin"" rhymes with ""plain""?",train,cabin,0.7
30,132,"I'm trying to figure out which word rhymes with ""plain"". Is it ""cabin"" or ""train""?",train,cabin,0.4
30,150,"Can you tell me which word, ""cabin"" or ""train"", rhymes with ""plain""?",train,cabin,0.5
30,163,"Out of ""cabin"" and ""train"", which one rhymes with ""plain""?",train,cabin,0.4
30,168,"Can you help me find which word rhymes with ""plain""? Is it ""train"" or ""cabin""?",train,cabin,0.4
30,170,"Which one of these words rhymes with ""plain"": ""cabin"" or ""train""?",train,cabin,0.0
30,186,"Given a query word and two candidate words, identify which of the two candidate words rhymes with the query word.
Query word: ""plain""
Candidate word 1: ""train""
Candidate word 2: ""cabin""
Output:",train,cabin,0.15
30,194,"Given a query word ""plain"" and two comparison words ""cabin"" and ""train"", determine which of the comparison words rhymes with the query word. Please provide the rhyming word as the output.
Query word: ""plain""
Word 1: ""cabin""
Word 2: ""train""
Output word:",train,cabin,0.15
30,201,"Given two words, ""train"" and ""cabin"", and a query word, ""plain"", determine which of the two words rhymes with the query word. Please provide the rhyming word as the output.
Word 1: ""train""
Word 2: ""cabin""
Query word: ""plain""
Output word:",train,cabin,0.0
30,222,"Given a query word and two options, select the word that rhymes with the query word.
Query word: ""plain""
Option 1: ""train""
Option 2: ""cabin""
Output word:",train,cabin,0.0
30,232,"Given a query word ""plain"" and two candidate words ""cabin"" and ""train"", determine which of the two candidate words rhymes with the query word.
Candidate word 1: ""cabin""
Candidate word 2: ""train""
Output word:",train,cabin,0.0
30,235,"Given three words, determine which of the two words rhymes with the third word.
word1: ""cabin""
word2: ""train""
query: ""plain""
The word that rhymes with ""plain"" is:",train,cabin,0.1
31,22,"Which word, ""surround"" or ""useless"", rhymes with the word """"sound""?",surround,useless,0.0
31,34,"What is a word that rhymes with ""sound"" - ""useless"" or ""surround""?",surround,useless,0.0
31,76,"Can you tell me which one of ""useless"" and ""surround"" rhymes with ""sound""?",surround,useless,0.0
31,80,"Determine if ""surround"" or ""useless"" rhymes with the word ""sound""?",surround,useless,0.0
31,100,"Please let me know if ""surround"" or ""useless"" is a rhyme of ""sound"".",surround,useless,0.4
