question_id,prompt,correct_answer,distractor,correct
1,"Q: Which word has more letters, ""no"" or ""chat""?
A:",chat,no,0.25
2,"Q: Which word has more letters, ""fit"" or ""rice""?
A:",rice,fit,0.1
3,"Q: Which word has more letters, ""fact"" or ""polite""?
A:",polite,fact,0.0
4,"Q: Which word has more letters, ""reason"" or ""like""?
A:",reason,like,0.5
5,"Q: Which word has more letters, ""roast"" or ""want""?
A:",roast,want,0.15
6,"Q: Which word has more letters, ""each"" or ""uniform""?
A:",uniform,each,0.45
7,"Q: Which word has more letters, ""steal"" or ""mistake""?
A:",mistake,steal,0.9
8,"Q: Which word has more letters, ""cola"" or ""night""?
A:",night,cola,1.0
9,"Q: Which word has more letters, ""side"" or ""guest""?
A:",guest,side,0.2
10,"Q: Which word has more letters, ""mix"" or ""group""?
A:",group,mix,0.05
11,"Q: Which word has more letters, ""stadium"" or ""trip""?
A:",stadium,trip,0.15
12,"Q: Which word has more letters, ""yet"" or ""dish""?
A:",dish,yet,0.0
13,"Q: Which word has more letters, ""about"" or ""face""?
A:",about,face,0.75
14,"Q: Which word has more letters, ""table"" or ""cow""?
A:",table,cow,0.95
15,"Q: Which word has more letters, ""neighbor"" or ""details""?
A:",neighbor,details,0.6
16,"Q: Which word has more letters, ""policeman"" or ""war""?
A:",policeman,war,0.35
17,"Q: Which word has more letters, ""question"" or ""ham""?
A:",question,ham,0.35
18,"Q: Which word has more letters, ""bed"" or ""chain""?
A:",chain,bed,0.05
19,"Q: Which word has more letters, ""by"" or ""skirt""?
A:",skirt,by,0.0
20,"Q: Which word has more letters, ""final"" or ""wash""?
A:",final,wash,0.55
21,"Q: Which word has more letters, ""who"" or ""home""?
A:",home,who,0.25
22,"Q: Which word has more letters, ""those"" or ""shoe""?
A:",those,shoe,0.25
23,"Q: Which word has more letters, ""reading"" or ""much""?
A:",reading,much,0.45
24,"Q: Which word has more letters, ""towel"" or ""tire""?
A:",towel,tire,0.35
25,"Q: Which word has more letters, ""thank"" or ""cat""?
A:",thank,cat,0.0
26,"Q: Which word has more letters, ""fun"" or ""side""?
A:",side,fun,0.25
27,"Q: Which word has more letters, ""want"" or ""model""?
A:",model,want,0.3
28,"Q: Which word has more letters, ""family"" or ""golf""?
A:",family,golf,0.65
29,"Q: Which word has more letters, ""box"" or ""place""?
A:",place,box,0.0
