question_id,prompt,correct_answer,distractor,correct
1,"Q: In an alphabetical order, which of the words ""beach"" and ""silver"" comes first?
A:",beach,silver,0.15
2,"Q: In an alphabetical order, which of the words ""at"" and ""policewoman"" comes first?
A:",at,policewoman,0.05
3,"Q: In an alphabetical order, which of the words ""quarter"" and ""save"" comes first?
A:",quarter,save,0.55
4,"Q: In an alphabetical order, which of the words ""plant"" and ""railroad"" comes first?
A:",plant,railroad,0.35
5,"Q: In an alphabetical order, which of the words ""hockey"" and ""knife"" comes first?
A:",hockey,knife,0.9
6,"Q: In an alphabetical order, which of the words ""may"" and ""motorcycle"" comes first?
A:",may,motorcycle,0.15
7,"Q: In an alphabetical order, which of the words ""for"" and ""afternoon"" comes first?
A:",afternoon,for,0.35
8,"Q: In an alphabetical order, which of the words ""wet"" and ""rest"" comes first?
A:",rest,wet,0.2
9,"Q: In an alphabetical order, which of the words ""slim"" and ""easily"" comes first?
A:",easily,slim,0.05
10,"Q: In an alphabetical order, which of the words ""barbecue"" and ""rent"" comes first?
A:",barbecue,rent,0.05
11,"Q: In an alphabetical order, which of the words ""work"" and ""license"" comes first?
A:",license,work,0.55
12,"Q: In an alphabetical order, which of the words ""extra"" and ""too"" comes first?
A:",extra,too,0.15
13,"Q: In an alphabetical order, which of the words ""immediately"" and ""somewhere"" comes first?
A:",immediately,somewhere,0.15
14,"Q: In an alphabetical order, which of the words ""street"" and ""hurry"" comes first?
A:",hurry,street,0.2
15,"Q: In an alphabetical order, which of the words ""morning"" and ""ship"" comes first?
A:",morning,ship,0.3
16,"Q: In an alphabetical order, which of the words ""sunglasses"" and ""racket"" comes first?
A:",racket,sunglasses,0.45
17,"Q: In an alphabetical order, which of the words ""sunny"" and ""strong"" comes first?
A:",strong,sunny,0.05
18,"Q: In an alphabetical order, which of the words ""nurse"" and ""enter"" comes first?
A:",enter,nurse,0.25
19,"Q: In an alphabetical order, which of the words ""dessert"" and ""circle"" comes first?
A:",circle,dessert,0.15
20,"Q: In an alphabetical order, which of the words ""fresh"" and ""modern"" comes first?
A:",fresh,modern,0.4
21,"Q: In an alphabetical order, which of the words ""south"" and ""my"" comes first?
A:",my,south,0.55
22,"Q: In an alphabetical order, which of the words ""market"" and ""vegetable"" comes first?
A:",market,vegetable,0.85
