question_id,prompt,correct_answer,correct
1,"Q: Are all the words ""truck"", ""rabbit"", ""dog"", ""goat"", and ""cat"" types of animals? Answer either ""yes"" or ""no"".
A:",False,0.05
2,"Q: Are all the words ""bookcase"", ""truck"", ""desk"", ""sofa"", and ""table"" types of furniture? Answer either ""yes"" or ""no"".
A:",False,1.0
3,"Q: Are all the words ""pear"", ""peach"", ""rabbit"", ""apple"", and ""lemon"" types of fruit? Answer either ""yes"" or ""no"".
A:",False,1.0
4,"Q: Are all the words ""fish"", ""duck"", ""pear"", ""rabbit"", and ""mouse"" types of animals? Answer either ""yes"" or ""no"".
A:",False,1.0
5,"Q: Are all the words ""socks"", ""train"", ""bus"", ""truck"", and ""tram"" types of vehicles? Answer either ""yes"" or ""no"".
A:",False,1.0
6,"Q: Are all the words ""mouse"", ""duck"", ""cat"", ""goat"", and ""fish"" types of animals? Answer either ""yes"" or ""no"".
A:",True,0.0
7,"Q: Are all the words ""pear"", ""car"", ""lemon"", ""mango"", and ""pineapple"" types of fruit? Answer either ""yes"" or ""no"".
A:",False,1.0
8,"Q: Are all the words ""train"", ""car"", ""truck"", ""pear"", and ""tram"" types of vehicles? Answer either ""yes"" or ""no"".
A:",False,1.0
9,"Q: Are all the words ""motorcycle"", ""tractor"", ""truck"", ""car"", and ""tram"" types of vehicles? Answer either ""yes"" or ""no"".
A:",True,0.0
10,"Q: Are all the words ""pants"", ""jacket"", ""jeans"", ""skirt"", and ""sweater"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.0
11,"Q: Are all the words ""socks"", ""sweater"", ""jacket"", ""coat"", and ""pants"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.0
12,"Q: Are all the words ""train"", ""truck"", ""car"", ""van"", and ""motorcycle"" types of vehicles? Answer either ""yes"" or ""no"".
A:",True,0.0
13,"Q: Are all the words ""dress"", ""coat"", ""sweater"", ""shorts"", and ""pants"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.0
14,"Q: Are all the words ""mango"", ""watermelon"", ""pear"", ""melon"", and ""strawberry"" types of fruit? Answer either ""yes"" or ""no"".
A:",True,0.0
15,"Q: Are all the words ""pear"", ""melon"", ""strawberry"", ""banana"", and ""pineapple"" types of fruit? Answer either ""yes"" or ""no"".
A:",True,0.0
16,"Q: Are all the words ""peach"", ""pineapple"", ""mango"", ""bed"", and ""banana"" types of fruit? Answer either ""yes"" or ""no"".
A:",False,1.0
17,"Q: Are all the words ""desk"", ""sofa"", ""armchair"", ""dress"", and ""bookcase"" types of furniture? Answer either ""yes"" or ""no"".
A:",False,1.0
18,"Q: Are all the words ""table"", ""armchair"", ""desk"", ""chair"", and ""bookcase"" types of furniture? Answer either ""yes"" or ""no"".
A:",True,0.0
19,"Q: Are all the words ""socks"", ""shorts"", ""dress"", ""sweater"", and ""skirt"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.0
20,"Q: Are all the words ""pants"", ""shirt"", ""socks"", ""train"", and ""coat"" types of clothing? Answer either ""yes"" or ""no"".
A:",False,0.0
21,"Q: Are all the words ""train"", ""tractor"", ""car"", ""motorcycle"", and ""tram"" types of vehicles? Answer either ""yes"" or ""no"".
A:",True,0.0
22,"Q: Are all the words ""skirt"", ""socks"", ""dress"", ""coat"", and ""jeans"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.0
23,"Q: Are all the words ""cat"", ""goat"", ""rabbit"", ""duck"", and ""dog"" types of animals? Answer either ""yes"" or ""no"".
A:",True,0.0
24,"Q: Are all the words ""duck"", ""pig"", ""chicken"", ""watermelon"", and ""goat"" types of animals? Answer either ""yes"" or ""no"".
A:",False,1.0
25,"Q: Are all the words ""rabbit"", ""cow"", ""cat"", ""fish"", and ""goat"" types of animals? Answer either ""yes"" or ""no"".
A:",True,0.0
26,"Q: Are all the words ""chicken"", ""cow"", ""fish"", ""goat"", and ""cat"" types of animals? Answer either ""yes"" or ""no"".
A:",True,0.0
27,"Q: Are all the words ""shirt"", ""skirt"", ""socks"", ""sweater"", and ""jacket"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.35
28,"Q: Are all the words ""sweater"", ""jacket"", ""pants"", ""shirt"", and ""coat"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.0
29,"Q: Are all the words ""mouse"", ""rabbit"", ""chicken"", ""duck"", and ""fish"" types of animals? Answer either ""yes"" or ""no"".
A:",True,0.0
30,"Q: Are all the words ""lemon"", ""peach"", ""melon"", ""pineapple"", and ""banana"" types of fruit? Answer either ""yes"" or ""no"".
A:",True,0.0
31,"Q: Are all the words ""strawberry"", ""peach"", ""apple"", ""pear"", and ""watermelon"" types of fruit? Answer either ""yes"" or ""no"".
A:",True,0.0
32,"Q: Are all the words ""mango"", ""lemon"", ""watermelon"", ""melon"", and ""pineapple"" types of fruit? Answer either ""yes"" or ""no"".
A:",True,0.0
33,"Q: Are all the words ""fish"", ""rabbit"", ""tractor"", ""mouse"", and ""cow"" types of animals? Answer either ""yes"" or ""no"".
A:",False,1.0
34,"Q: Are all the words ""fish"", ""duck"", ""cow"", ""mouse"", and ""rabbit"" types of animals? Answer either ""yes"" or ""no"".
A:",True,0.0
35,"Q: Are all the words ""van"", ""motorcycle"", ""train"", ""desk"", and ""car"" types of vehicles? Answer either ""yes"" or ""no"".
A:",False,1.0
36,"Q: Are all the words ""motorcycle"", ""train"", ""car"", ""tractor"", and ""van"" types of vehicles? Answer either ""yes"" or ""no"".
A:",True,0.0
37,"Q: Are all the words ""coat"", ""shorts"", ""jacket"", ""sweater"", and ""pants"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.0
38,"Q: Are all the words ""couch"", ""chair"", ""table"", ""bookcase"", and ""armchair"" types of furniture? Answer either ""yes"" or ""no"".
A:",True,0.0
39,"Q: Are all the words ""fish"", ""chicken"", ""goat"", ""mouse"", and ""cat"" types of animals? Answer either ""yes"" or ""no"".
A:",True,0.0
40,"Q: Are all the words ""sofa"", ""desk"", ""pig"", ""bookcase"", and ""chair"" types of furniture? Answer either ""yes"" or ""no"".
A:",False,1.0
41,"Q: Are all the words ""apple"", ""strawberry"", ""peach"", ""pear"", and ""watermelon"" types of fruit? Answer either ""yes"" or ""no"".
A:",True,0.0
42,"Q: Are all the words ""dress"", ""car"", ""van"", ""tram"", and ""train"" types of vehicles? Answer either ""yes"" or ""no"".
A:",False,1.0
43,"Q: Are all the words ""jeans"", ""pants"", ""sweater"", ""coat"", and ""socks"" types of clothing? Answer either ""yes"" or ""no"".
A:",True,0.0
44,"Q: Are all the words ""lemon"", ""pear"", ""banana"", ""melon"", and ""strawberry"" types of fruit? Answer either ""yes"" or ""no"".
A:",True,0.0
